codeRunId,runScore,nextRunScore,deltaRunScore
1,0,0,0
2,0,0,0
3,0,,
4,0,0,0
5,0,1,1
6,1,1,0
7,1,,
8,0,,
9,1,,
10,4,,
11,4,4,0
12,4,,
13,0,0,0
14,0,1,1
15,1,4,3
16,4,4,0
17,4,,
18,4,,
19,0,0,0
20,0,2,2
21,2,2,0
22,2,4,2
23,4,,
24,4,,
25,1,2,1
26,2,,
27,4,,
28,2,,
29,0,1,1
30,1,4,3
31,4,,
32,0,1,1
33,1,1,0
34,1,,
35,4,,
36,1,1,0
37,1,,
38,0,1,1
39,1,1,0
40,1,1,0
41,1,,
42,0,0,0
43,0,0,0
44,0,,
45,0,0,0
46,0,1,1
47,1,1,0
48,1,1,0
49,1,1,0
50,1,,
51,0,,
52,0,0,0
53,0,0,0
54,0,,
55,0,0,0
56,0,,
57,0,,
58,1,4,3
59,4,4,0
60,4,,
61,0,,
62,4,,
63,0,1,1
64,1,2,1
65,2,,
66,0,1,1
67,1,1,0
68,1,1,0
69,1,1,0
70,1,,
71,0,1,1
72,1,1,0
73,1,1,0
74,1,1,0
75,1,,
76,0,,
77,1,,
78,1,,
79,0,1,1
80,1,1,0
81,1,,
82,0,0,0
83,0,,
84,1,1,0
85,1,1,0
86,1,4,3
87,4,,
88,1,3,2
89,3,4,1
90,4,,
91,0,,
92,0,0,0
93,0,1,1
94,1,1,0
95,1,1,0
96,1,,
97,1,1,0
98,1,,
99,0,0,0
100,0,0,0
101,0,,
102,0,0,0
103,0,,
104,0,,
105,0,0,0
106,0,1,1
107,1,,
108,0,1,1
109,1,0,-1
110,0,,
111,0,1,1
112,1,,
113,0,,
114,1,,
115,0,1,1
116,1,4,3
117,4,4,0
118,4,,
119,0,0,0
120,0,4,4
121,4,,
122,4,,
123,4,,
124,0,1,1
125,1,1,0
126,1,,
127,0,0,0
128,0,,
129,0,,
130,0,,
131,0,,
132,0,,
133,0,1,1
134,1,1,0
135,1,1,0
136,1,4,3
137,4,,
138,1,,
139,1,4,3
140,4,4,0
141,4,,
142,0,4,4
143,4,,
144,0,1,1
145,1,1,0
146,1,1,0
