"codeRunId";"codeProbId";"codeRunNum";"numStepsAvailable";"isError";"isUserStarted";"backsteps";"fwdSteps";"stepRevisits"
1;1;0;9;1;1;0;0;0
2;1;1;9;1;1;0;0;0
3;1;2;9;1;1;0;0;0
4;2;0;22;0;1;0;1;0
5;2;1;22;0;1;0;1;0
6;2;2;23;0;1;4;1;0
7;2;3;28;0;1;0;0;0
8;3;0;8;1;1;0;0;0
9;4;0;28;0;1;0;0;0
10;5;0;47;0;1;0;0;0
11;6;0;39;0;1;0;1;0
12;6;1;39;0;1;7;8;7
13;7;0;10;1;1;0;1;0
14;7;1;15;1;1;0;12;0
15;7;2;79;0;1;0;19;0
16;7;3;49;0;1;0;44;0
17;7;4;49;0;1;0;1;0
18;9;0;49;0;1;0;0;0
19;10;0;16;1;1;0;1;0
20;10;1;16;1;1;0;1;0
21;10;2;39;0;1;0;1;0
22;10;3;39;0;1;0;1;0
23;10;4;39;0;1;0;1;0
24;11;0;50;0;1;0;1;0
25;12;0;40;0;1;0;1;0
26;12;1;40;0;1;0;1;0
27;13;0;50;0;1;0;0;0
28;14;0;40;0;1;0;0;0
29;15;0;10;1;1;5;10;8
30;15;1;82;0;1;0;16;0
31;15;2;47;0;1;0;12;0
32;16;0;14;1;1;0;3;0
33;16;1;38;0;1;0;16;0
34;16;2;38;0;1;0;17;0
35;17;0;47;0;1;0;0;0
36;18;0;38;0;1;0;0;0
37;18;1;38;0;1;0;0;0
38;19;0;9;1;1;2;14;8
39;19;1;70;0;1;0;69;0
40;19;2;94;0;1;0;93;0
41;19;3;94;0;0;0;0;0
42;20;0;22;0;1;0;21;0
43;20;1;23;0;1;0;22;0
44;20;2;19;1;1;0;18;0
45;21;0;9;1;1;0;0;0
46;21;1;10;1;1;0;0;0
47;21;2;70;0;1;0;0;0
48;21;3;58;0;1;0;0;0
49;21;4;58;0;1;0;0;0
50;21;5;58;0;1;0;0;0
51;23;0;19;1;1;0;0;0
52;24;0;9;1;1;0;6;0
53;24;1;9;1;1;0;8;0
54;24;2;9;1;1;0;0;0
55;26;0;9;1;1;2;4;3
56;26;1;9;1;0;0;0;0
57;27;0;22;0;1;0;0;0
58;28;0;14;1;1;14;14;15
59;28;1;37;0;1;0;36;0
60;28;2;37;0;1;0;1;0
61;29;0;36;1;0;0;0;0
62;30;0;37;0;1;0;0;0
63;31;0;36;1;1;0;35;0
64;31;1;43;0;1;0;42;0
65;31;2;49;0;1;0;1;0
66;32;0;9;1;1;0;0;0
67;32;1;70;0;1;0;0;0
68;32;2;70;0;1;0;0;0
69;32;3;58;0;1;0;0;0
70;32;4;58;0;1;0;0;0
71;33;0;9;1;1;1;13;6
72;33;1;70;0;1;2;19;4
73;33;2;70;0;1;0;22;0
74;33;3;82;0;1;0;1;0
75;33;4;82;0;1;0;0;0
76;34;0;22;0;1;0;0;0
77;35;0;82;0;1;0;0;0
78;37;0;82;0;1;0;0;0
79;39;0;9;1;1;1;8;3
80;39;1;70;0;1;0;69;0
81;39;2;82;0;1;29;95;43
82;40;0;14;1;1;0;13;0
83;40;1;14;1;0;0;0;0
84;41;0;82;0;1;0;0;0
85;41;1;82;0;1;0;56;0
86;41;2;88;0;1;0;1;0
87;41;3;64;0;1;0;1;0
88;42;0;33;0;1;0;1;0
89;42;1;33;0;1;0;1;0
90;42;2;39;0;1;0;1;0
91;43;0;9;1;1;0;7;0
92;44;0;9;1;1;0;7;0
93;44;1;9;1;1;0;8;0
94;44;2;17;1;1;1;16;2
95;44;3;79;0;1;12;23;12
96;44;4;79;0;0;0;0;0
97;45;0;33;0;1;1;1;0
98;45;1;33;0;0;0;0;0
