ctr,hofstede-country,ip-Country,demo-country,short-name
Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan
Aland Islands,Aland Islands,#N/A,Aland Islands,Aland Islands
American Samoa,American Samoa,#N/A,American Samoa,American Samoa
Angola,Angola,#N/A,Angola,Angola
Anguilla,Anguilla,#N/A,Anguilla,Anguilla
Antarctica,Antarctica,#N/A,Antarctica,Antarctica
Antigua And Barbuda,Antigua And Barbuda,#N/A,Antigua And Barbuda,Antigua And Barbuda
Aruba,Aruba,#N/A,Aruba,Aruba
AFE,Africa East,#N/A,#N/A,#N/A
AFW,Africa West,#N/A,#N/A,#N/A
ALB,Albania,Albania,Albania,Albania
ALG,Algeria,Algeria,Algeria,Algeria
AND,Andorra,#N/A,Andorra,Andorra
ARA,Arab countries,#N/A,#N/A,#N/A
ARG,Argentina,Argentina,Argentina,Argentina
ARM,Armenia,Armenia,Armenia,Armenia
AUL,Australia,Australia,Australia,Australia
AUT,Austria,Austria,Austria,Austria
AZE,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan
Bahamas,Bahamas,#N/A,Bahamas,Bahamas
Bahrain,Bahrain,Bahrain,Bahrain,Bahrain
BAN,Bangladesh,Bangladesh,Bangladesh,Bangladesh
BLR,Belarus,Belarus,Belarus,Belarus
BEL,Belgium,Belgium,Belgium,Belgium
BEF,Belgium French,#N/A,#N/A,#N/A
BEN,Belgium Netherl,#N/A,#N/A,#N/A
BOS,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia And Herzegovina,Bosnia And Herzegovina
BRA,Brazil,Brazil,Brazil,Brazil
BUL,Bulgaria,Bulgaria,Bulgaria,Bulgaria
BUF,Burkina Faso,#N/A,#N/A,#N/A
Bermuda,Bermuda,#N/A,Bermuda,Bermuda
Burundi,Burundi,#N/A,Burundi,Burundi
Belize,Belize,Belize,#N/A,#N/A
Botswana,Botswana,Botswana,#N/A,#N/A
CAN,Canada,Canada,Canada,Canada
CAF,Canada French,#N/A,#N/A,#N/A
CHL,Chile,Chile,Chile,Chile
CHI,China,China,China,China
COL,Colombia,Colombia,Colombia,Colombia
COS,Costa Rica,Costa Rica,#N/A,#N/A
CRO,Croatia,Croatia,Croatia,Croatia
CYP,Cyprus,#N/A,#N/A,#N/A
CZE,Czech Republic,Czechia,Czech Republic,Czech Republic
Cambodia,Cambodia,Cambodia,#N/A,#N/A
Cameroon,Cameroon,#N/A,Cameroon,Cameroon
Cook Islands,Cook Islands,#N/A,Cook Islands,Cook Islands
Cote Divoire,Cote Divoire,#N/A,Cote Divoire,Cote Divoire
DEN,Denmark,Denmark,Denmark,Denmark
DOM,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic
ECA,Ecuador,Ecuador,Ecuador,Ecuador
EGY,Egypt,Egypt,Egypt,Egypt
ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia
