"participantId";"current_time";"retake";"gender";"education";"multinational";"country0";"country1";"country2";"country3";"country4";"country5";"age";"programmingExperience";"pythonBefore";"pythonTutorBefore";"readUnderstandInstructions"
3137;"09:20:53";0;1;"high school";1;"Iran";"Canada";"Malaysia";"United States";"";"";18;"3m";1;"1-2";"read, understood"
3152;"09:20:53";0;0;"PhD";1;"India";"United States";"";"";"";"";49;"more";1;"6+";"read, understood"
3157;"09:20:53";0;0;"graduate school";0;"Russian Federation";"";"";"";"";"";20;"6m";0;"";""
3162;"09:20:53";0;0;"PhD";1;"France";"";"";"";"";"";23;"more";1;"0";"read, understood"
3174;"09:20:53";0;1;"graduate school";0;"United States";"";"";"";"";"";18;"1yr";1;"6+";"not read, understood"
3178;"09:20:53";0;0;"graduate school";0;"United States";"";"";"";"";"";42;"3m";0;"6+";"read, understood"
3181;"09:20:53";0;0;"college";1;"Nepal";"United States";"";"";"";"";20;"1yr";1;"3-5";"read, understood"
3183;"09:20:53";0;0;"college";1;"Kenya";"";"";"";"";"";25;"3m";1;"0";"read, understood"
3185;"09:20:53";0;0;"college";0;"Brazil";"";"";"";"";"";37;"none";1;"";""
3193;"09:20:53";0;0;"graduate school";0;"Nigeria";"";"";"";"";"";30;"none";0;"0";"read, not understood"
3196;"09:20:53";0;1;"pre-high school";0;"India";"";"";"";"";"";16;"none";0;"";""
3197;"09:20:53";0;0;"college";1;"Switzerland";"United States";"Brazil";"United States";"Australia";"";19;"1yr";1;"";""
3212;"09:20:53";0;0;"high school";0;"Latvia";"";"";"";"";"";20;"1yr";1;"1-2";"read, understood"
3222;"09:20:53";0;0;"high school";1;"Canada";"China";"United States";"";"";"";17;"3m";1;"0";"read, understood"
3230;"09:20:53";0;0;"college";0;"Ukraine";"";"";"";"";"";30;"none";0;"";""
3231;"09:20:53";0;0;"professional school";0;"Russian Federation";"";"";"";"";"";37;"1yr";1;"1-2";"read, understood"
3239;"09:20:53";0;0;"graduate school";0;"Ukraine";"";"";"";"";"";26;"1yr";1;"6+";"read, understood"
3243;"09:20:53";0;0;"PhD";1;"China";"";"";"";"";"";44;"1yr";0;"";""
3249;"09:20:53";0;0;"high school";0;"Italy";"";"";"";"";"";31;"6m";1;"6+";"read, understood"
3256;"09:20:53";0;0;"college";0;"China";"";"";"";"";"";34;"3m";1;"0";"read, understood"
3260;"09:20:53";0;0;"college";1;"Belarus";"United States";"";"";"";"";20;"6m";1;"0";"read, understood"
3261;"09:20:53";1;0;"college";1;"Bangladesh";"";"";"";"";"";19;"none";1;"";""
3273;"09:20:53";0;0;"PhD";1;"China";"";"";"";"";"";24;"more";1;"";""
3280;"09:20:53";0;0;"high school";0;"Egypt";"";"";"";"";"";21;"1yr";1;"3-5";"read, understood"
3284;"09:20:53";0;0;"college";1;"Panama";"United States";"";"";"";"";31;"6m";1;"1-2";"read, understood"
3285;"09:20:53";0;0;"pre-high school";0;"Brazil";"";"";"";"";"";16;"6m";1;"";""
3290;"09:20:53";0;0;"college";0;"Chile";"";"";"";"";"";19;"3m";1;"6+";"read, understood"
3295;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";22;"none";0;"1-2";"read, understood"
3303;"09:20:53";0;1;"graduate school";1;"China";"";"";"";"";"";28;"3m";0;"6+";"read, understood"
3306;"09:20:53";0;0;"college";1;"Colombia";"United States";"France";"";"";"";29;"1yr";1;"6+";"read, understood"
3312;"09:20:53";0;0;"college";1;"China";"";"";"";"";"";34;"more";1;"";""
3321;"09:20:53";0;0;"professional school";0;"Bermuda";"";"";"";"";"";25;"more";1;"1-2";"read, understood"
3326;"09:20:53";0;0;"college";1;"Germany";"";"";"";"";"";36;"1yr";1;"1-2";"read, understood"
3338;"09:20:53";0;0;"high school";1;"United States";"India";"United States";"";"";"";15;"6m";1;"3-5";"read, understood"
3362;"09:20:53";0;0;"pre-high school";0;"Russian Federation";"";"";"";"";"";15;"none";1;"";""
3363;"09:20:53";0;0;"college";0;"Spain";"";"";"";"";"";47;"none";1;"6+";"read, understood"
3364;"09:20:53";0;0;"graduate school";0;"Russian Federation";"";"";"";"";"";16;"6m";1;"6+";"read, understood"
3371;"09:20:53";0;0;"graduate school";1;"Romania";"Austria";"Germany";"";"";"";29;"none";0;"1-2";"read, understood"
3372;"09:20:53";0;0;"college";1;"India";"United States";"";"";"";"";21;"3m";1;"6+";"read, understood"
3380;"09:20:53";0;0;"college";0;"Israel";"";"";"";"";"";22;"more";1;"6+";"read, understood"
3386;"09:20:53";0;0;"college";0;"Singapore";"";"";"";"";"";18;"3m";1;"6+";"read, understood"
3392;"09:20:53";0;1;"college";1;"Poland";"";"";"";"";"";21;"more";1;"1-2";"not read, understood"
3397;"09:20:53";0;0;"college";0;"Russian Federation";"";"";"";"";"";22;"none";0;"";""
3398;"09:20:53";0;1;"graduate school";0;"India";"";"";"";"";"";21;"6m";1;"6+";"read, understood"
3416;"09:20:53";0;1;"college";1;"Hungary";"United Kingdom";"";"";"";"";29;"3m";1;"";""
3418;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";30;"3m";1;"1-2";"read, understood"
3419;"09:20:53";0;0;"college";1;"Germany";"United Kingdom";"Belgium";"Germany";"";"";26;"6m";1;"1-2";"read, understood"
3423;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";22;"none";0;"0";"read, understood"
3429;"09:20:53";0;1;"college";1;"China";"";"";"";"";"";25;"3m";1;"6+";"read, understood"
