"participantId";"how_easy_was_pt";"how_helpful_was_pt";"how_important_step_backward"
0;3;4;4
3137;1;0;3
3152;3;3;3
3162;3;2;3
3174;3;3;4
3178;2;3;3
3222;4;4;4
3249;3;3;4
3256;4;4;4
3284;4;3;4
3290;2;4;4
3295;2;2;3
3321;4;4;3
3326;2;2;1
3338;4;4;4
3371;3;3;2
3392;4;4;4
3398;3;4;3
3418;3;4;4
3419;3;4;4
3423;2;2;3
3429;1;3;4
3431;4;4;4
3444;3;3;3
3452;3;2;3
3460;4;4;2
3474;0;0;3
3476;3;4;3
3520;2;2;2
3555;3;3;4
3559;3;4;4
3591;4;3;4
3592;4;4;4
3593;3;3;3
3595;4;4;2
3606;3;3;3
3611;4;3;2
3617;3;3;3
3645;3;3;4
3663;4;4;4
3666;4;1;2
3668;2;3;3
3670;2;3;4
3675;0;2;0
3678;1;1;3
3700;4;4;3
3702;4;4;3
3728;2;4;4
3733;3;3;4
3738;4;3;4
3749;4;4;4
3751;2;2;3
3756;4;4;4
3772;4;4;4
3773;4;4;4
3790;3;4;4
3806;4;4;4
3811;3;4;0
3813;2;4;4
3815;4;4;0
3822;3;3;1
3858;1;2;4
3859;2;2;0
3864;1;4;4
3870;2;2;2
3903;3;4;3
3933;2;2;3
3937;3;4;2
3980;4;4;4
4019;0;4;4
4035;4;3;4
4039;4;4;4
4049;4;4;4
4065;1;3;2
4119;4;4;0
4160;3;2;3
4180;4;3;2
4186;4;4;1
4188;0;0;0
4189;3;4;4
4217;1;2;2
4222;3;2;3
4228;2;2;4
4236;1;1;2
4253;0;3;4
4290;3;3;2
4302;2;2;0
4315;4;4;2
4356;4;2;1
4362;0;4;4
4364;0;4;4
4370;4;3;4
4403;3;2;3
4407;3;3;3
4416;3;3;3
4427;4;4;4
4458;2;0;3
4480;4;3;3
4506;3;3;4
4540;2;3;3
4546;4;3;3
4548;1;1;1
4560;4;2;4
4562;4;2;4
4565;1;4;4
4587;0;0;0
4608;0;2;2
4628;4;3;4
4659;4;4;4
4669;2;3;4
4684;3;3;2
4689;1;2;2
4695;4;4;4
4709;3;3;4
4715;4;4;3
4732;3;2;0
4741;2;1;4
4807;3;2;3
4844;3;3;3
4855;3;2;3
4860;4;4;3
4874;3;3;4
4897;4;4;4
4936;3;3;3
4962;3;4;3
5017;3;2;3
5018;4;3;4
5036;4;4;4
5043;4;4;3
5062;3;2;2
5065;2;3;3
5085;4;4;4
5090;3;3;4
5092;2;2;2
5104;3;3;4
5113;2;3;4
5116;4;2;4
5118;2;3;4
5141;3;2;3
5145;4;2;2
5170;4;4;4
5246;4;4;4
5351;3;3;4
5366;3;4;4
5370;3;3;4
5388;3;4;2
5408;4;4;1
5475;2;2;2
5482;3;2;3
5498;4;4;4
5500;4;4;3
5501;2;3;3
5516;4;4;4
5529;4;3;4
5580;2;2;4
5598;3;3;4
5603;4;2;3
5609;2;1;0
5629;3;1;3
5645;2;0;4
5654;3;2;4
5690;4;4;4
5692;4;4;4
5713;4;4;4
5714;2;2;2
5717;4;4;4
5725;3;3;2
5744;2;3;4
5766;3;2;3
5767;4;4;4
5774;4;0;0
5793;4;1;1
5800;3;2;2
5804;2;1;1
5827;4;3;3
5852;4;2;4
5857;3;2;3
5859;4;4;4
5885;2;3;4
5900;4;4;4
5903;3;3;2
5957;3;1;3
5995;4;4;4
6014;3;2;4
6025;2;2;3
6038;4;4;3
6039;4;4;3
6107;2;3;3
6121;2;3;4
6195;3;2;3
6234;2;1;2
6279;2;3;2
6294;2;1;2
6326;4;3;4
6371;4;4;4
6382;4;3;3
6456;4;4;4
6459;3;4;4
6463;2;3;3
6472;4;3;3
6480;2;3;3
6489;1;1;3
6519;4;4;4
6532;4;3;4
6537;3;3;4
6545;4;4;3
6567;0;0;0
6568;1;2;2
6569;1;1;4
6579;1;2;3
6606;2;3;3
6646;2;4;3
6680;0;0;0
6689;4;3;3
6705;2;3;2
6727;4;3;2
6758;2;2;4
6762;3;3;1
6778;0;4;1
6785;1;1;3
6820;2;4;3
6828;2;2;2
6842;4;2;4
6847;3;3;4
6857;4;4;4
6879;3;2;4
6882;1;0;4
6884;2;3;3
6888;3;3;4
6889;4;4;4
6908;4;4;2
6932;3;3;3
6962;3;4;4
6969;3;3;3
6975;3;4;3
6986;3;4;4
6987;4;4;4
6990;2;2;3
6997;0;4;4
7005;3;4;2
7009;2;1;3
7064;4;3;4
7082;3;3;4
7085;4;3;0
7088;3;4;4
7114;4;4;3
7115;1;1;2
7130;2;2;2
7135;4;4;4
7137;3;2;4
7149;3;3;4
7152;4;4;4
7168;3;3;3
7182;4;4;4
7203;2;2;2
7239;0;0;1
7253;3;2;3
7255;2;2;3
7258;4;2;1
7265;4;2;4
7300;4;4;4
7301;2;2;3
7305;3;2;2
7310;4;3;3
7313;4;3;4
7314;3;3;3
7316;3;3;3
7319;3;3;3
7344;2;4;4
7354;3;4;3
7369;3;3;3
7462;3;3;3
7468;3;4;4
7532;4;3;4
7544;4;4;3
7552;4;4;4
7568;4;4;3
7574;0;3;3
7691;4;4;4
7722;2;2;3
7726;2;3;2
7749;3;1;2
