Country,GDP per capita
Aruba,
Afghanistan,594.3230812
Angola,4101.472152
Albania,3945.217582
Andorra,
Arab World,6537.301118
United Arab Emirates,40438.76293
Argentina,13467.41564
Armenia,3489.12769
American Samoa,11541.64716
Antigua and Barbuda,13714.73196
Australia,56290.64681
Austria,43636.7537
Azerbaijan,5497.488414
Burundi,277.0683092
Belgium,40454.16997
Benin,762.0512054
Burkina Faso,589.7744141
Bangladesh,1211.701531
Bulgaria,6993.47736
Bahrain,22600.2141
"Bahamas, The",22817.23086
Bosnia and Herzegovina,4249.330313
Belarus,5754.601939
Belize,4878.721267
Bermuda,
Bolivia,3076.791811
Brazil,8677.768107
Barbados,15429.34046
Brunei Darussalam,30554.72967
Bhutan,2655.998892
Botswana,6360.13822
Central African Republic,323.201674
Canada,43315.70044
Central Europe and the Baltics,12412.98098
Switzerland,80999.28742
Channel Islands,
Chile,13416.23004
China,8069.211938
Cote d'Ivoire,1398.989958
Cameroon,1217.26067
"Congo, Dem. Rep.",456.0527405
"Congo, Rep.",1851.199916
Colombia,6056.147717
Comoros,717.44885
Cabo Verde,3080.178814
Costa Rica,11260.09216
Caribbean small states,9405.830849
Cuba,7650.232731
Curacao,
Cayman Islands,
Cyprus,23075.1127
Czech Republic,17556.9243
Germany,41178.4566
Djibouti,1945.124293
Dominica,7116.386392
Denmark,53014.64416
Dominican Republic,6468.473492
Algeria,4154.119692
East Asia & Pacific (excluding high income),6516.774456
Early-demographic dividend,3185.439544
East Asia & Pacific,9537.770428
Europe & Central Asia (excluding high income),7118.709065
Europe & Central Asia,22157.91963
Ecuador,6205.064145
Egypt,3614.746766
Euro area,34168.88609
Eritrea,
Spain,25684.72442
Estonia,17084.51742
Ethiopia,619.1694065
European Union,32017.84664
Fragile and conflict affected situations,1538.063998
Finland,42403.46748
Fiji,4960.519954
France,36352.48007
Faroe Islands,
"Micronesia, Fed. Sts.",3015.231668
Gabon,8266.445605
United Kingdom,43929.69081
Georgia,3757.064863
Ghana,1369.701122
Gibraltar,
Guinea,531.3205952
"Gambia, The",471.5371955
Guinea-Bissau,572.9884285
Equatorial Guinea,14439.59445
Greece,18006.97033
Grenada,9212.020352
Greenland,43364.88285
Guatemala,3903.478856
Guam,33752.24417
Guyana,4127.351018
High income,39944.76032
Hong Kong,42327.83996
Honduras,2528.89355
Heavily indebted poor countries (HIPC),872.6199597
Croatia,11592.9102
Haiti,818.3432976
Hungary,12365.62603
IBRD only,5591.845225
IDA & IBRD total,4466.76565
IDA total,1404.641625
IDA blend,2093.897806
Indonesia,3346.487039
IDA only,1020.298715
Isle of Man,85258.07616
India,1593.257703
Not classified,
Ireland,61093.69108
Iran,5442.874771
Iraq,4943.760388
Iceland,50722.00108
Israel,35729.37253
Italy,29993.07605
Jamaica,5105.793012
Jordan,4940.045836
Japan,34523.70077
Kazakhstan,10509.98107
Kenya,1376.712829
Kyrgyz Republic,1103.233871
Cambodia,1158.689904
Kiribati,1424.280879
St. Kitts and Nevis,15771.9455
Republic of Korea,27221.52405
Kuwait,29300.57558
Latin America & Caribbean (excluding high income),8110.916485
Lao PDR,1818.441373
Lebanon,8047.645086
Liberia,455.8739345
Libya,
St. Lucia,7735.910484
Latin America & Caribbean,8450.332604
Least developed countries: UN classification,978.9076045
Low income,617.7078283
Liechtenstein,178713.228
Sri Lanka,3926.174396
Lower middle income,2001.839407
Low & middle income,4366.759124
Lesotho,1066.985626
Late-demographic dividend,8202.946891
Republic of Lithuania,14251.77987
Luxembourg,99717.74472
Latvia,13654.84892
"Macao SAR, China",78585.87706
St. Martin (French part),
Morocco,2878.201342
Monaco,
Moldova,1848.083643
Madagascar,401.836006
Maldives,8395.785198
Middle East & North Africa,7398.653857
Mexico,9005.024265
Marshall Islands,3385.967463
Middle income,4800.123643
"Macedonia, FYR",4852.657848
Mali,724.2562832
Malta,22567.87599
Myanmar,1161.488158
Middle East & North Africa (excluding high income),4401.415853
Montenegro,6408.428758
Mongolia,3967.829386
Northern Mariana Islands,16742.32795
Mozambique,529.2425561
Mauritania,1370.985212
Mauritius,9252.110724
Malawi,371.9857478
Malaysia,9768.32686
North America,54837.8266
Namibia,4673.567248
New Caledonia,
Niger,358.958152
Nigeria,2671.721164
Nicaragua,2086.895003
Netherlands,44290.86886
Norway,74481.81938
Nepal,743.3229657
Nauru,8052.887602
New Zealand,37807.96728
OECD members,36095.29068
Oman,15550.67625
Other small states,12876.62351
Pakistan,1434.696665
Panama,13268.11375
Peru,6027.125855
Philippines,2904.202082
Palau,13498.66141
Papua New Guinea,2268.172539
Poland,12558.87117
Pre-demographic dividend,1528.089969
Puerto Rico,
"Korea, Dem. People’s Rep.",
Portugal,19222.935
Paraguay,4080.951448
West Bank and Gaza,2866.8001
Pacific island small states,3640.920708
Post-demographic dividend,40127.35369
French Polynesia,
Qatar,73653.39443
Romania,8980.65727
Russia,9329.298351
Rwanda,697.3482281
South Asia,1538.450283
Saudi Arabia,20481.74532
Sudan,2414.723601
Senegal,899.5798795
Singapore,52888.74467
Solomon Islands,1934.856293
Sierra Leone,653.1318159
El Salvador,4219.35033
San Marino,
Somalia,549.2669766
Serbia,5237.255334
Sub-Saharan Africa (excluding high income),1592.883918
South Sudan,730.5801009
Sub-Saharan Africa,1594.172292
Small states,11656.09406
Sao Tome and Principe,1669.063268
Suriname,9485.319244
Slovak Republic,16089.01618
Slovenia,20728.92036
Sweden,50585.25847
Swaziland,3200.143018
Sint Maarten (Dutch part),
Seychelles,15390.04064
Syrian Arab Republic,
Turks and Caicos Islands,
Chad,775.6950905
East Asia & Pacific (IDA & IBRD countries),6585.709172
Europe & Central Asia (IDA & IBRD countries),7615.88583
Togo,559.6358767
Thailand,5814.769764
Tajikistan,925.9118877
Turkmenistan,6672.477544
Latin America & the Caribbean (IDA & IBRD countries),8336.002411
Timor-Leste,1216.881491
Middle East & North Africa (IDA & IBRD countries),4418.54035
Tonga,4098.543929
South Asia (IDA & IBRD),1538.450283
Sub-Saharan Africa (IDA & IBRD countries),1594.172292
Trinidad and Tobago,17321.88468
Tunisia,3822.356006
Turkey,9125.68759
Tuvalu,3295.005823
Tanzania,878.9751055
Uganda,705.2925695
Ukraine,2114.954716
Upper middle income,7953.745035
Uruguay,15573.90092
United States,56115.71843
Uzbekistan,2132.11124
St. Vincent and the Grenadines,6739.174833
Venezuela,
British Virgin Islands,
Virgin Islands (U.S.),36350.82163
Vietnam,2110.919344
Vanuatu,2805.314644
World,10112.32853
Samoa,3938.548846
Kosovo,3552.385165
"Yemen, Rep.",1406.291651
South Africa,5718.244732
Zambia,1304.879014
Zimbabwe,924.1438193
